frame.number,frame.time_epoch,ip.src,ip.dst,_ws.col.Protocol,frame.len,_ws.col.Info
"1","1642247057.959939000",,,"ARP","42","Who has 172.17.0.7? Tell 172.17.0.4"
"2","1642247057.959963000",,,"ARP","42","Who has 172.17.0.2? Tell 172.17.0.4"
"3","1642247057.960061000",,,"ARP","42","172.17.0.7 is at 02:42:ac:11:00:07"
"4","1642247057.960064000",,,"ARP","42","172.17.0.2 is at 02:42:ac:11:00:02"
"5","1642247058.472074000",,,"ARP","42","Who has 172.17.0.4? Tell 172.17.0.2"
"6","1642247058.472080000",,,"ARP","42","172.17.0.4 is at 02:42:ac:11:00:04"
"7","1642247058.472118000",,,"ARP","42","Who has 172.17.0.4? Tell 172.17.0.7"
"8","1642247058.472122000",,,"ARP","42","172.17.0.4 is at 02:42:ac:11:00:04"
"9","1642247060.945923000","172.17.0.2","172.17.0.4","UDP (NDN)","148","Interest /ndn/edu/usalp/%C1.Router/router3/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router1"
"10","1642247060.946794000","172.17.0.4","172.17.0.2","UDP (NDN)","294","Data /ndn/edu/usalp/%C1.Router/router3/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router1/35=%00%00%01~%5D%8D%7D%D2"
"11","1642247068.993616000","172.17.0.4","172.17.0.2","UDP (NDN)","148","Interest /ndn/edu/usalp/%C1.Router/router1/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router3"
"12","1642247068.993805000","172.17.0.4","172.17.0.7","UDP (NDN)","148","Interest /ndn/edu/usalp/%C1.Router/router6/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router3"
"13","1642247068.994452000","172.17.0.2","172.17.0.4","UDP (NDN)","296","Data /ndn/edu/usalp/%C1.Router/router1/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router3/35=%00%00%01~%5D%8D%9DA"
"14","1642247068.994560000","172.17.0.7","172.17.0.4","UDP (NDN)","295","Data /ndn/edu/usalp/%C1.Router/router6/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router3/35=%00%00%01~%5D%8D%9DB"
"15","1642247071.001490000","172.17.0.2","172.17.0.4","UDP (NDN)","148","Interest /ndn/edu/usalp/%C1.Router/router3/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router1"
"16","1642247071.002372000","172.17.0.4","172.17.0.2","UDP (NDN)","294","Data /ndn/edu/usalp/%C1.Router/router3/nlsr/INFO/%07%24%08%03ndn%08%03edu%08%05usalp%08%08%C1.Router%08%07router1/35=%00%00%01~%5D%8D%A5%19"
"17","1642247075.096876000","172.17.0.2","172.17.0.4","UDP (NDN)","82","Interest /ndn/edu/uaslp/work/task6"
"18","1642247075.097021000","172.17.0.4","172.17.0.7","UDP (NDN)","82","Interest /ndn/edu/uaslp/work/task6"
"19","1642247075.098569000","172.17.0.7","172.17.0.4","UDP (NDN)","229","Data /ndn/edu/uaslp/work/task6"
"20","1642247075.098799000","172.17.0.4","172.17.0.2","UDP (NDN)","229","Data /ndn/edu/uaslp/work/task6"
"21","1642247077.512918000","172.17.0.2","172.17.0.4","UDP (NDN)","845","Data /localhop/ndn/nlsr/sync/35=%0A/x%DAc%60%40%01L%5D%D9%86%8C%8F%14%95%9F3%10%07%18%D9%1B%8C%82%CF%A7o%FC%0AbO%90%08%D8%D2%BB%E1%F2%27%909%939%AE%A6%A5%BE%7B%E7%00%12o%8F%08%8A%11%AD%9F%3A%09%C46%C9%8Ey%2C%FB6h%13%BA96%9D%82%13%B6%5D%2F%F9%05b%9F%5B%5B%2Cx%E4%F5%3Eyt5f%AE%AE%16%D2%8E%DA%27%18H%07%8C%EF%FD%3A%EBT%AEn%99%0Fb%7B%5EX%DE%B9y%BD%F0%1C%90%3B%AF%CA%BF_%B9%9B%2Bj1%90%CD%ECu%DE%E8%E3%9F%07%DE%29%E8z%B9%247%06%AD%AA%BB%7F%15%9F%F9%EB%13%A6%9D%7BZ%B82%01%C4%5E%EE%7F%B5cb%7F%D5v45LS%F5%D6%F7%3CN%FF%A3%0BR%F3%F6E%A4%93%ED%7F%97%5E%10%BB%20q%93l%C5y_%26t3%EF.x%E0%93Xv%27%12%C4%0Ei%3E%BA%F8NV%60%27%1E70%D9%18%0A%2F%3D%98%D5%22%09R%EF%FB%96%E3%5E%D7%2C%89%8Dx%DC%83%A2w6%F7%29%DD%1Fs~_B%0B%1F%94pCr3%CB%DE%E8%D8%7B%EB%CEO%8Ed%A0%1E%60-w%A9%17%CA%5B%FC%F8%22%1E5%2C%DB%AD%C2%A3J%23%0B%B2%89%0C%13b%D2%0CJ%1A%B6%E0%D1%FD%C2%A8%7Ds%069i%0C%29%FD%A3%88%FF%FD%C7%FE%2Fm%E6%E2%40t%F1%3D_%8A%ABN%FA%DF%D4%02%B1%83%BA6%D7%EA%3C%2FvA%CF%2F8%D2%1Ec6%AFR%B3%89%84%B9%3C%3E%F7%E0%C8kL%F5%FEO%3F%CD8%F82%10-%DF1%9D%99z0%7Dc%C3%14%0D4%F5%CC%EA%D3%B7%B6%7BO%8F%BB%80%96%26q%DA%2B%AA%FB%95%F1%7B%F1%DB%3B%203%13E%26_%9C%97%F6%E2%14%BA%1B%EC%A4%BE~%2AQ%7B%22%8C.%BE%AC%F6v%B2%A3%E8%C3d%909%01%0BC%B5f%AE%16%F6C%CB_%28v%F1f%94%F4%AA%97%5C%FDCN%7C%ADf%F91%29%E5%A8%F9%0DP%BA%9A_%A0%BB%F8%C6%C9%BF2%E4%98%83%9C%97%91%E2%1A9%EF%10%03%98%96%C5%8A%F6L%FB%F8%C3%0AY%10%00%9B%99%FD%24/%17%B7%B7%00%AE0%92%9A/35=%00%00%01~%5D%8D%BE%86/33=%00"
